OSHPD_ID,FAC_NAME,SURG_IP,OP_RM_MIN_IP,SURG_OP,OP_RM_MIN_OP,OP_RM_IP_ONLY,OP_RM_OP_ONLY,OP_RM_IP_AND_OP,OP_RM_TOTL,AMB_SURG_PROG,BIRTHS_LIVE_TOTL,BIRTHS_LIVE_<5LBS_8OZ,BIRTHS_LIVE_<3LBS_5OZ,ABC_OP_PROG,ABC_LDR,ABC_LDRP,BIRTHS_LIVE_ABC,BIRTHS_LIVE_C_SEC,LICENSURE_CVSURG_SVCS,CVSURG_LIC_OP_RM,CVSURG_WITH_ECBPASS_PED,CVSURG_WITHOUT_ECBPASS_PED,CVSURG_WITH_ECBPASS_ADLT,CVSURG_WITHOUT_ECBPASS_ADLT,CVSURG_WITH_ECBPASS_TOTL,CVSURG_WITHOUT_ECBPASS_TOTL,CVSURG_CABG_TOTL,CATH_CARD_RM,CATH_IP_PED_DX_VIS,CATH_IP_PED_THER_VIS,CATH_OP_PED_DX_VIS,CATH_OP_PED_THER_VIS,CATH_IP_ADLT_DX_VIS,CATH_IP_ADLT_THER_VIS,CATH_OP_ADLT_DX_VIS,CATH_OP_ADLT_THER_VIS,CATH_DX_VIS_TOTL,CATH_THER_VIS_TOTL,CARDIAC_CATH_DX_PROC,MYOCARDIAL_BIOPSY,PACEMKR_PERM_IMPL,OTH_PERM_PACEMAKER_PROC,ICD_IMPLANTATION,OTH_ICD_PROCEDURES,PCI_WITH_STENT,PCI_WITHOUT_STENT,ATHERECTOMY_PTCRA,THROMBO_AGT,PTBV,DX_EP_STUDY,CATHETER_ABLATION,PERIPHERAL_VASCULAR_ANGIOGRAPHY,PERIPHERAL_VASCULAR_INTERVENTIONAL,CAROTID_STENTING,INTRA_AORTIC_BALLOON_PUMP_INS,CATHETER_BASED_VENTRICULAR_INS,OTHR_CATH_PROC,CATH_TOTL,EQUIP_ACQ_OVER_500K,EQUIP_01_DESCRIP,EQUIP_01_VALUE,EQUIP_01_ACQUI_DT,EQUIP_01_ACQUI_MEANS,EQUIP_02_DESCRIP,EQUIP_02_VALUE,EQUIP_02_ACQUI_DT,EQUIP_02_ACQUI_MEANS,EQUIP_03_DESCRIP,EQUIP_03_VALUE,EQUIP_03_ACQUI_DT,EQUIP_03_ACQUI_MEANS,EQUIP_04_DESCRIP,EQUIP_04_VALUE,EQUIP_04_ACQUI_DT,EQUIP_04_ACQUI_MEANS,EQUIP_05_DESCRIP,EQUIP_05_VALUE,EQUIP_05_ACQUI_DT,EQUIP_05_ACQUI_MEANS,EQUIP_06_DESCRIP,EQUIP_06_VALUE,EQUIP_06_ACQUI_DT,EQUIP_06_ACQUI_MEANS,EQUIP_07_DESCRIP,EQUIP_07_VALUE,EQUIP_07_ACQUI_DT,EQUIP_07_ACQUI_MEANS,EQUIP_08_DESCRIP,EQUIP_08_VALUE,EQUIP_08_ACQUI_DT,EQUIP_08_ACQUI_MEANS,EQUIP_09_DESCRIP,EQUIP_09_VALUE,EQUIP_09_ACQUI_DT,EQUIP_09_ACQUI_MEANS,EQUIP_10_DESCRIP,EQUIP_10_VALUE,EQUIP_10_ACQUI_DT,EQUIP_10_ACQUI_MEANS,CAP_EXP_OVER_1MIL,PROJ_01_DESCRIP_CAP_EXP,PROJ_01_PROJTD_CAP_EXP,PROJ_01_OSHPD_PROJ_NO,PROJ_02_DESCRIP_CAP_EXP,PROJ_02_PROJTD_CAP_EXP,PROJ_02_OSHPD_PROJ_NO,PROJ_03_DESCRIP_CAP_EXP,PROJ_03_PROJTD_CAP_EXP,PROJ_03_OSHPD_PROJ_NO,PROJ_04_DESCRIP_CAP_EXP,PROJ_04_PROJTD_CAP_EXP,PROJ_04_OSHPD_PROJ_NO,PROJ_05_DESCRIP_CAP_EXP,PROJ_05_PROJTD_CAP_EXP,PROJ_05_OSHPD_PROJ_NO
106014034,FREMONT HOSPITAL,0,0,0,0,0,0,0,0,No,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106014050,VALLEYCARE MEDICAL CENTER,2234,329736,3980,363907,0,4,7,11,Yes,1372,24,2,No,,,0,521,CV SURG,1,0,0,43,2,43,2,18,2,0,0,0,0,257,151,226,101,483,252,471,0,44,20,20,5,148,14,5,15,0,0,0,180,156,0,9,0,13,1100,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106014132,KAISER FOUNDATION HOSPITAL - FREMONT,1086,151470,8610,500884,0,0,7,7,No,0,0,0,No,,,0,0,CATH LAB,0,0,0,0,0,0,0,0,1,0,0,0,0,4,32,76,0,80,32,80,0,0,0,0,33,0,0,0,0,0,0,0,14,9,0,1,0,2,139,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Yes,CTP 14 FRE Hospital Chemical Analyzer,1300000,S140971-01,CTP 11 FRE-Hospital replacement of Open MRI,2353564,S150035-01,FCA-FRE Hospital ED Triage Remodel,1900000,,,,,,,
106034002,SUTTER AMADOR HOSPITAL,710,59930,1005,63130,0,0,3,3,No,413,0,0,Yes,,YES,308,105,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106040875,FEATHER RIVER HOSPITAL,984,110441,2081,160261,0,2,5,7,Yes,854,33,3,No,,YES,643,207,CATH LAB,0,0,0,0,0,0,0,0,1,0,0,0,0,154,42,131,32,285,74,285,0,36,31,3,10,0,0,0,0,0,0,0,15,2,0,0,0,67,449,Yes,Misc Endoscopic Equipment,53669301,1/31/15,Purchase,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106040937,OROVILLE HOSPITAL,1712,165989,3336,219762,0,0,5,5,Yes,465,20,1,No,,,0,171,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Hologic Selenia Dimensions Mammography System,600393,10/26/15,Lease,Allura Xper FD20 Cardiac Cath System,1362678,6/15/15,Lease,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106060870,COLUSA REGIONAL MEDICAL CENTER,159,7981,316,10536,0,0,2,2,Yes,152,7,3,No,,,0,74,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,2009,148580,2917,220746,2,0,7,9,No,2226,86,2,No,,,0,658,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106070934,SUTTER DELTA MEDICAL CENTER,975,117315,1094,105240,1,0,5,6,Yes,995,65,4,No,,,0,275,CATH LAB,0,0,0,0,0,0,0,0,1,0,0,0,0,352,394,56,43,408,437,355,0,48,21,10,2,234,15,0,0,0,0,0,36,43,0,11,0,70,845,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106070990,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1279,191244,11483,1150869,0,4,9,13,Yes,3383,303,58,No,,,0,936,CATH LAB,0,0,0,0,0,0,0,0,3,0,0,0,0,390,152,874,263,1264,415,1341,0,14,0,0,0,429,5,0,0,0,0,0,433,316,0,9,0,0,2547,Yes,CT Scanner,600195,11/11/14,Lease,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Yes,Cystoscopy replacement in hospital operating room,1154620,S152874-07,Replace CT equipment,1649932,S141362-07,,,,,,,,,
106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,3277,528400,2329,196159,0,0,9,9,No,0,0,0,No,,,0,0,CV SURG,2,0,0,328,31,328,31,235,5,0,0,0,0,1103,763,1112,1224,2215,1987,1423,0,204,158,109,107,604,142,69,1,13,369,539,421,439,14,18,4,55,4689,Yes,Siemens dimension vista 500,503757,6/30/15,Purchase,Siemens somatome definitioin edge,920011,12/31/15,Purchase,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Yes,Concord E Building E4 ICU build out,16777920,inprogress,,,,,,,,,,,,
106074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,0,0,0,0,0,0,0,0,No,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106084001,SUTTER COAST HOSPITAL,348,38377,2087,99489,0,0,4,4,Yes,288,12,1,Yes,,YES,215,73,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106094002,TELECARE EL DORADO COUNTY P.H.F.,0,0,0,0,0,0,0,0,No,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106100797,ADVENTIST MEDICAL CENTER - REEDLEY,462,9552,337,15806,0,0,4,4,No,1377,1338,4,No,,,0,436,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106104047,FRESNO SURGICAL HOSPITAL,1994,240095,11760,517949,0,4,9,13,Yes,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106104062,KAISER FOUNDATION HOSPITAL - FRESNO,1945,270890,6971,571527,0,0,8,8,Yes,1359,61,5,Yes,,YES,978,381,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Yes,modernization of elevators,1509144,S150857-10,,,,,,,,,,,,
106110889,GLENN MEDICAL CENTER,0,0,339,13118,0,1,0,1,Yes,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Digital Mammography,2425483,12/31/14,Purchase,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106120981,"GENERAL HOSPITAL, THE",0,0,4617,145054,0,7,0,7,Yes,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106121002,MAD RIVER COMMUNITY HOSPITAL,811,97707,1559,132503,0,0,3,3,No,604,31,4,No,,,0,0,CATH LAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106121031,JEROLD PHELPS COMMUNITY HOSPITAL,0,0,0,0,0,0,0,0,No,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106121051,REDWOOD MEMORIAL HOSPITAL,407,51797,1671,107912,0,0,3,3,Yes,396,21,0,No,,,0,103,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106121080,ST. JOSEPH HOSPITAL - EUREKA,1856,252419,3861,338793,0,0,10,10,Yes,435,20,1,No,,,0,153,CV SURG,1,0,0,49,6,49,6,23,2,0,0,0,0,14,11,642,399,656,410,515,0,84,41,54,14,202,17,1,0,0,0,0,48,513,2,8,0,230,1729,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106124004,SEMPERVIRENS P.H.F.,0,0,0,0,0,0,0,0,No,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106130699,EL CENTRO REGIONAL MEDICAL CENTER,862,97415,3328,207781,0,0,7,7,Yes,1131,56,12,No,,,0,528,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Yes,Central Utility Plant,2552203,P-2013-00222-ACD0012,Bed Ancillary,3627317,G152177-13-00,,,,,,,,,
106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,1647,98093,3490,135291,0,0,6,6,No,1902,38,9,No,,,0,644,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Carefusion Smart IV Pumps,703866,3/1/15,Purchase,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106141273,NORTHERN INYO HOSPITAL,285,32640,1082,63388,0,0,3,3,No,210,9,1,No,,,0,50,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106150706,DELANO REGIONAL MEDICAL CENTER,921,82699,2362,147127,0,0,4,4,Yes,549,28,6,No,,,0,170,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106150737,KERN VALLEY HEALTHCARE DISTRICT,12,1625,37,4070,0,0,2,2,Yes,1,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106150761,MERCY HOSPITAL - BAKERSFIELD,1565,203458,2083,168824,0,0,9,9,Yes,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,206,10658,68,3126,0,0,2,2,No,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106150782,RIDGECREST REGIONAL HOSPITAL,526,64617,1767,105760,0,0,5,5,No,451,18,4,No,,,293,158,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
106150808,TEHACHAPI HOSPITAL,0,0,0,0,0,0,0,0,No,0,0,0,No,,,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,No,,,,,,,,,,,,,,,
