facility.oshpd.id,facility.hospital.name,facility.street.address,facility.city.name,facility.zip.code,facility.county.name,facility.owner,facility.begin.date,facility.end.date,operating.rooms.surgery.recovery.services,operating.rooms.ambulatory.surgery.services,operating.rooms.satellite.ambulatory.surgery.center,surgeries.surgery.recovery.services,surgeries.ambulatory.surgery.services,surgeries.satellite.ambulatory.surgery.center,open.heart.surgeries.surgery.recovery.services,inpatient.surgeries.surgery.recovery.services,inpatient.surgeries.ambulatory.surgery.services,inpatient.surgeries.satellite.ambulatory.surgery.center,outpatient.surgeries.surgery.recovery.services,outpatient.surgeries.ambulatory.surgery.services,outpatient.surgeries.satellite.ambulatory.surgery.center,outpatient.surgeries,surgery.mins.surgery.recovery.services,surgery.mins.ambulatory.surgery.services,surgery.mins.satellite.ambulatory.surgery.center,open.heart.surgery.mins.surgery.recovery.services,inpatient.surgery.mins.surgery.recovery.services,inpatient.surgery.mins.ambulatory.surgery.services,inpatient.surgery.mins.satellite.ambulatory.surgery.center,outpatient.surgery.mins.surgery.recovery.services,outpatient.surgery.mins.ambulatory.surgery.services,outpatient.surgery.mins.satellite.ambulatory.surgery.center,gross.revenue.satellite.ambulatory.surgery.center,gross.revenue.surgery.recovery.services,gross.revenue.ambulatory.surgery.services,gross.revenue.total,net.revenue.satellite.ambulatory.surgery.center,net.revenue.surgery.recovery.services,net.revenue.ambulatory.surgery.services,net.revenue.total,inpatient.gross.revenue.satellite.ambulatory.surgery.center.medicare.traditional,inpatient.gross.revenue.surgery.recovery.services.medicare.traditional,inpatient.gross.revenue.ambulatory.surgery.services.medicare.traditional,outpatient.gross.revenue.satellite.ambulatory.surgery.center.medicare.traditional,outpatient.gross.revenue.surgery.recovery.services.medicare.traditional,outpatient.gross.revenue.ambulatory.surgery.services.medicare.traditional,inpatient.gross.revenue.surgery.recovery.services.medicare.managed,inpatient.gross.revenue.ambulatory.surgery.services.medicare.managed,outpatient.gross.revenue.satellite.ambulatory.surgery.center.medicare.managed,outpatient.gross.revenue.surgery.recovery.services.medicare.managed,outpatient.gross.revenue.ambulatory.surgery.services.medicare.managed,inpatient.gross.revenue.surgery.recovery.services.medical.traditional,inpatient.gross.revenue.ambulatory.surgery.services.medical.traditional,outpatient.gross.revenue.satellite.ambulatory.surgery.center.medical.traditional,outpatient.gross.revenue.surgery.recovery.services.medical.traditional,outpatient.gross.revenue.ambulatory.surgery.services.medical.traditional,inpatient.gross.revenue.surgery.recovery.services.medical.managed,inpatient.gross.revenue.ambulatory.surgery.services.medical.managed,outpatient.gross.revenue.satellite.ambulatory.surgery.center.medical.managed,outpatient.gross.revenue.surgery.recovery.services.medical.managed,outpatient.gross.revenue.ambulatory.surgery.services.medical.managed,inpatient.gross.revenue.surgery.recovery.services.county.indigent.traditional,inpatient.gross.revenue.ambulatory.surgery.services.county.indigent.traditional,outpatient.gross.revenue.satellite.ambulatory.surgery.center.county.indigent.traditional,outpatient.gross.revenue.surgery.recovery.services.county.indigent.traditional,outpatient.gross.revenue.ambulatory.surgery.services.county.indigent.traditional,inpatient.gross.revenue.surgery.recovery.services.county.indigent.managed,inpatient.gross.revenue.ambulatory.surgery.services.county.indigent.managed,outpatient.gross.revenue.surgery.recovery.services.county.indigent.managed,outpatient.gross.revenue.ambulatory.surgery.services.county.indigent.managed,inpatient.gross.revenue.surgery.recovery.services.other.third.parties.traditional,inpatient.gross.revenue.ambulatory.surgery.services.other.third.parties.traditional,outpatient.gross.revenue.satellite.ambulatory.surgery.center.other.third.parties.traditional,outpatient.gross.revenue.surgery.recovery.services.other.third.parties.traditional,outpatient.gross.revenue.ambulatory.surgery.services.other.third.parties.traditional,inpatient.gross.revenue.satellite.ambulatory.surgery.center.other.third.parties.managed,inpatient.gross.revenue.surgery.recovery.services.other.third.parties.managed,inpatient.gross.revenue.ambulatory.surgery.services.other.third.parties.managed,outpatient.gross.revenue.satellite.ambulatory.surgery.center.other.third.parties.managed,outpatient.gross.revenue.surgery.recovery.services.other.third.parties.managed,outpatient.gross.revenue.ambulatory.surgery.services.other.third.parties.managed,inpatient.gross.revenue.surgery.recovery.services.other.indigent,inpatient.gross.revenue.ambulatory.surgery.services.other.indigent,outpatient.gross.revenue.satellite.ambulatory.surgery.center.other.indigent,outpatient.gross.revenue.surgery.recovery.services.other.indigent,outpatient.gross.revenue.ambulatory.surgery.services.other.indigent,inpatient.gross.revenue.surgery.recovery.services.other.payors,inpatient.gross.revenue.ambulatory.surgery.services.other.payors,outpatient.gross.revenue.satellite.ambulatory.surgery.center.other.payors,outpatient.gross.revenue.surgery.recovery.services.other.payors,outpatient.gross.revenue.ambulatory.surgery.services.other.payors,inpatient.gross.revenue.satellite.ambulatory.surgery.center,inpatient.gross.revenue.surgery.recovery.services,inpatient.gross.revenue.ambulatory.surgery.services,inpatient.gross.revenue.total,outpatient.gross.revenue.satellite.ambulatory.surgery.center,outpatient.gross.revenue.surgery.recovery.services,outpatient.gross.revenue.ambulatory.surgery.services,outpatient.gross.revenue.total,net.profit.surgery.recovery.services,net.profit.ambulatory.surgery.services,net.profit.satellite.ambulatory.surgery.center,net.profit.total
106013687,MERRITT PERALTA INSTITUTE CHEMICAL DEPENDENCY RECOVERY HOSPI,HAWTHORNE AVE & WEBSTER STREET,OAKLAND,94609,Alameda County,SUTTER HEALTH,1/1/14,12/31/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20798817,0,0,0,9245383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17686956,0,0,0,3111861,0,0,0,2917036
106014034,FREMONT HOSPITAL,39001 SUNDALE DRIVE,FREMONT,94538,Alameda County,"UNIVERSAL HEALTH SERVICES, INC.",1/1/14,12/31/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77501560,0,0,0,39253719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70105150,0,0,0,7396410,0,0,0,16060280
106014050,VALLEYCARE MEDICAL CENTER,5555 W. LAS POSITAS BLVD,PLEASANTON,94588,Alameda County,THE HOSPITAL COMMITTEE OF LIVERMORE,7/1/13,6/30/14,11,4,0,5660,1507,0,53,2830,0,0,2830,1507,0,4337,567416,169415,0,17964,337061,0,0,230355,169415,0,0,170171620,39155115,1170738738,0,34845448,8017656,239957335,0,45306692,0,0,14240123,3671167,4741023,0,0,1450935,676253,569535,0,0,581004,2016,4156011,0,0,1574086,494119,0,0,0,0,0,0,0,0,0,8018332,0,0,5648794,316428,0,46434178,0,0,34951068,5017728,495994,0,0,228476,23312,1093649,0,0,681720,28954092,0,110815414,0,728951927,0,59356206,39155115,441786811,8807538,167681,0,-10507434
106014132,KAISER FOUNDATION HOSPITALS - FREMONT,39400 PASEO PADRE PARKWAY,FREMONT,94538,Alameda County,KAISER FOUNDATION HOSPITALS,1/1/14,12/31/14,7,0,0,12349,0,0,0,2071,0,0,10278,0,0,10278,1035522,0,0,0,343662,0,0,691860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,2633 EAST 27TH ST,OAKLAND,94601,Alameda County,TELECARE CORPORATION,7/1/13,6/30/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16263839,0,0,0,8743136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16263839,0,0,0,0,0,0,0,459628
106014226,WILLOW ROCK CENTER,2050 FAIRMONT DRIVE,SAN LEANDRO,94578,Alameda County,TELECARE CORPORATION,7/1/13,6/30/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12608923,0,0,0,5835512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12608923,0,0,0,0,0,0,0,395125
106014233,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,Alameda County,EDEN MEDICAL CENTER,1/1/14,12/31/14,7,0,0,3382,0,0,5,2018,0,0,1364,0,0,1364,435705,0,0,1020,297555,0,0,138150,0,0,0,88601107,0,1084032153,0,23846733,0,282124826,0,18207914,0,0,9083669,0,4332105,0,0,2242571,0,3898087,0,0,444953,0,4662470,0,0,2355422,0,1952,0,0,0,0,0,0,0,0,2486648,0,0,592204,0,0,21319847,0,0,17247451,0,282220,0,0,84980,0,565462,0,0,793152,0,0,55756705,0,708140854,0,32844402,0,375891299,1219486,0,0,8709986
106014326,KAISER FOUNDATION HOSPITALS - OAKLAND,275 W. MACARTHUR BLVD.,OAKLAND,94611,Alameda County,KAISER FOUNDATION HOSPITALS,7/1/14,12/31/14,18,0,0,9075,0,0,0,2947,0,0,6128,0,0,6128,1173177,0,0,0,499744,0,0,673433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106014337,KAISER FOUNDATION HOSPITALS - SAN LEANDRO,2500 MERCED ST,SAN LEANDRO,94577,Alameda County,KAISER FOUNDATION HOSPITALS,6/3/14,12/31/14,7,0,0,7926,0,0,0,1476,0,0,6450,0,0,6450,574483,0,0,0,129714,0,0,444769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106034002,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,95642,Amador County,SUTTER HEALTH,1/1/14,12/31/14,3,0,0,1446,0,0,0,760,0,0,686,0,0,686,142800,0,0,0,87360,0,0,55440,0,0,0,21458617,0,220004830,0,7052911,0,74392306,0,7183305,0,0,3113755,0,586193,0,0,220354,0,1506906,0,0,255781,0,1993818,0,0,1077643,0,0,0,0,0,0,0,0,1145,0,282783,0,0,215718,0,0,2608592,0,0,1970680,0,213949,0,0,44110,0,182415,0,0,1470,0,0,14557961,0,117424454,0,6900656,0,102580376,226286,0,0,9898702
106040802,ORCHARD HOSPITAL,240 SPRUCE STREET,GRIDLEY,95948,Butte County,BIGGS-GRIDLEY MEMORIAL HOSPITAL,7/1/13,6/30/14,2,0,0,765,0,0,0,44,0,0,721,0,0,721,37315,0,0,0,7308,0,0,30007,0,0,0,4127343,0,56619696,0,1252630,0,16171257,0,417189,0,0,1262471,0,0,0,0,0,0,0,0,0,0,0,150566,0,0,1117138,0,13919,0,0,373425,0,0,0,0,0,65080,0,0,663405,0,0,0,0,0,0,0,0,0,0,0,0,24347,0,0,39803,0,0,671101,0,18216184,0,3456242,0,38403512,310769,0,0,-2178774
106040875,FEATHER RIVER HOSPITAL,5974 PENTZ RD.,PARADISE,95969,Butte County,ADVENTIST HEALTH,1/1/14,12/31/14,7,0,0,2999,0,0,0,1119,0,0,1880,0,0,1880,200297,0,0,0,94404,0,0,105893,0,0,0,136279119,0,1099734797,0,23695009,0,183898739,0,42609154,0,0,20142752,0,660350,0,0,141610,0,6699557,0,0,3864784,0,8237440,0,0,16641290,0,0,0,0,0,0,28831,0,98815,0,447310,0,0,401612,0,0,16673400,0,0,19092573,0,17612,0,0,0,0,414693,0,0,107336,0,0,75788347,0,449656601,0,60490772,0,650078196,14625942,0,0,9805609
106040937,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,95966,Butte County,OROHEALTH CORPORATION,12/1/13,11/30/14,5,0,0,4582,0,0,0,1658,0,0,2924,0,0,2924,360834,0,0,0,164367,0,0,196467,0,0,0,67767490,0,874333685,0,16380700,0,185532309,0,15195499,0,0,11418703,0,213355,0,0,31360,0,7352049,0,0,2488476,0,8281490,0,0,6361601,0,0,0,0,0,0,758767,0,245172,0,5523081,0,0,5751896,0,0,1800032,0,0,1648459,0,103648,0,0,9985,0,490262,0,0,93655,0,0,39718183,0,548574921,0,28049307,0,325758764,5910469,0,0,14512009
106040962,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,95926,Butte County,ENLOE MEDICAL CENTER,7/1/13,6/30/14,13,0,4,6834,0,1963,207,3979,0,0,2855,0,1963,4818,761700,0,285016,46664,536820,0,0,224880,0,285016,24758051,198399934,0,1727487123,6130232,49124930,0,399249335,0,67848721,0,5837638,17996174,0,1196381,0,153212,277146,0,20326544,0,5232886,10843851,0,0,0,0,0,0,5327160,0,271807,2011032,0,0,0,0,0,3782491,0,764242,2183943,0,0,38655145,0,12065472,24293581,0,902382,0,0,266640,0,1880507,0,432794,608236,0,0,139919331,0,1022615352,24758051,58480603,0,704871771,14704245,0,818480,2242897
